id,name,category,price,stock,description,image_url,brand,rating,features,created_date
P001,iPhone 15 Pro Max 512GB,電子產品,42900,45,最新 A17 Pro 晶片搭載鈦金屬設計，配備專業級相機系統與 ProMotion 技術，提供極致效能與拍攝體驗,https://images.unsplash.com/photo-1592286927505-38a47d689e9d?w=400,Apple,4.8,鈦金屬/A17 Pro/專業相機系統/ProMotion,2024-08-15
P002,Samsung Galaxy S24 Ultra,電子產品,39900,32,200MP 超高解析度主相機，內建 AI 智慧功能與 S Pen 手寫筆，旗艦級效能與創新體驗,https://images.unsplash.com/photo-1610945264803-c22b62d2a7b3?w=400,Samsung,4.7,200MP相機/AI功能/S Pen/120Hz螢幕,2024-09-01
P003,MacBook Pro 14吋 M3 晶片,電子產品,59900,18,全新 M3 晶片帶來突破性效能，Liquid Retina XDR 顯示器，最長 18 小時電池續航力,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,Apple,4.9,M3晶片/XDR顯示器/18小時續航/專業級效能,2024-07-20
P004,Sony WH-1000XM5 無線降噪耳機,電子產品,11990,65,業界領先的降噪技術，30 小時超長續航，支援 LDAC 高解析音質與多點連接,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,Sony,4.9,主動降噪/30小時續航/LDAC/多點連接,2024-06-10
P005,AirPods Pro 第二代,電子產品,7990,120,自適應音訊技術，個人化空間音訊，MagSafe 充電盒提供最長 30 小時續航,https://images.unsplash.com/photo-1588423771073-b8903fbb85b5?w=400,Apple,4.6,主動降噪/空間音訊/MagSafe/防水,2024-08-25
P006,iPad Air 第五代 256GB,電子產品,21900,28,M1 晶片為核心，10.9 吋 Liquid Retina 顯示器，支援 Apple Pencil 第二代與巧控鍵盤,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400,Apple,4.7,M1晶片/10.9吋/Apple Pencil/巧控鍵盤,2024-05-18
P007,Dell XPS 15 筆記型電腦,電子產品,54900,12,第 13 代 Intel Core i7 處理器，NVIDIA RTX 4050 顯示卡，15.6 吋 4K OLED 觸控螢幕,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=400,Dell,4.5,i7處理器/RTX 4050/4K OLED/觸控螢幕,2024-07-08
P008,Samsung Galaxy Tab S9 平板電腦,電子產品,23900,40,Dynamic AMOLED 2X 顯示器，IP68 防水防塵，內附 S Pen 手寫筆，DeX 桌面模式,https://images.unsplash.com/photo-1561154464-82e9adf32764?w=400,Samsung,4.6,AMOLED/IP68防水/S Pen/DeX模式,2024-06-22
P009,Apple Watch Series 9 GPS 45mm,電子產品,12900,75,全新 S9 SiP 晶片，雙指互點手勢控制，全天候健康監測與進階體能訓練功能,https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=400,Apple,4.8,S9晶片/雙指互點/健康監測/GPS,2024-09-10
P010,Garmin Fenix 7 Solar 運動手錶,電子產品,21900,22,專業戶外運動手錶，太陽能充電技術，多重衛星定位系統，完整訓練數據分析,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=400,Garmin,4.7,太陽能充電/多重GPS/訓練分析/防水,2024-04-15
P011,Canon EOS R6 Mark II 全片幅相機,電子產品,89900,8,24.2MP 全片幅感光元件，40fps 高速連拍，進階 DIGIC X 影像處理器與 8K 錄影,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=400,Canon,4.9,全片幅/40fps連拍/8K錄影/DIGIC X,2024-03-20
P012,Sony A7 IV 全片幅無反相機,電子產品,72900,10,33MP 高解析度感光元件，693 點相位對焦系統，4K 60p 錄影與即時眼部追蹤,https://images.unsplash.com/photo-1606980395052-f8b675587e1d?w=400,Sony,4.8,33MP/693點對焦/4K 60p/眼部追蹤,2024-05-05
P013,Nintendo Switch OLED 主機,電子產品,10780,88,7 吋 OLED 螢幕提供鮮豔色彩，增強音效系統，64GB 內建儲存空間，支援電視與攜帶模式,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?w=400,Nintendo,4.7,7吋OLED/增強音效/64GB/雙模式,2024-08-03
P014,PlayStation 5 標準版,電子產品,15980,35,超高速 SSD 載入，支援光線追蹤技術，4K-120Hz 輸出與 3D 音效技術,https://images.unsplash.com/photo-1606144042614-b2417e99c4e3?w=400,Sony,4.9,超高速SSD/光線追蹤/4K 120Hz/3D音效,2024-07-12
P015,LG OLED65C3 65吋 4K 電視,電子產品,69900,15,自體發光 OLED 面板，α9 AI 處理器第六代，支援 HDMI 2.1 與 120Hz 更新率,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,LG,4.8,OLED/α9 AI/120Hz/HDMI 2.1,2024-04-28
P016,Samsung QN90C Neo QLED 電視,電子產品,59900,18,量子點矩陣技術 Pro，Neural Quantum 處理器，Object Tracking Sound+ 音效技術,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400,Samsung,4.7,Neo QLED/量子點/Neural處理器/OTS+,2024-06-14
P017,Bose SoundLink Flex 藍牙喇叭,電子產品,4790,55,IP67 防水防塵設計，PositionIQ 智慧調音技術，12 小時電池續航力,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,Bose,4.6,IP67防水/PositionIQ/12小時續航/藍牙,2024-09-05
P018,JBL Charge 5 攜帶式藍牙喇叭,電子產品,5490,70,強勁低音表現，IP67 防水防塵，20 小時播放時間，支援 PartyBoost 串聯,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400,JBL,4.5,IP67/20小時續航/強勁低音/PartyBoost,2024-08-18
P019,Dyson V15 Detect 無線吸塵器,電子產品,21900,42,雷射偵測微塵科技，智慧吸力調整系統，LCD 螢幕即時顯示清潔數據,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400,Dyson,4.8,雷射偵測/智慧吸力/LCD顯示/60分鐘續航,2024-05-30
P020,iRobot Roomba j7+ 掃地機器人,電子產品,28900,25,自動集塵座設計，PrecisionVision 智慧避障，支援語音控制與 APP 遠端操作,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400,iRobot,4.7,自動集塵/智慧避障/語音控制/APP操作,2024-07-25
P021,Logitech MX Master 3S 無線滑鼠,電子產品,2990,95,人體工學設計，8K DPI 感應器，靜音點擊技術，支援多裝置切換與自訂按鍵,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,Logitech,4.9,8K DPI/靜音點擊/多裝置/人體工學,2024-06-08
P022,Keychron Q1 Pro 機械鍵盤,電子產品,5490,60,QMK/VIA 完整支援，鋁合金 CNC 機身，熱插拔軸座，藍牙 5.1 無線連接,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400,Keychron,4.7,QMK/VIA/熱插拔/藍牙5.1/鋁合金,2024-08-12
P023,Anker PowerCore 26800mAh 行動電源,電子產品,1890,150,26800mAh 超大容量，PowerIQ 3.0 快速充電技術，三個 USB 輸出埠,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400,Anker,4.5,26800mAh/PowerIQ 3.0/三埠輸出/快充,2024-09-20
P024,Samsung T7 2TB 外接式 SSD,電子產品,5990,68,1050MB/s 讀取速度，USB 3.2 Gen 2 介面，IP65 防護等級，支援硬體加密,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b?w=400,Samsung,4.8,1050MB/s/USB 3.2/IP65/硬體加密,2024-07-07
P025,ASUS ROG Swift 27吋電競螢幕,電子產品,18900,28,2K QHD 解析度，270Hz 更新率，1ms 反應時間，支援 G-SYNC 與 HDR,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,ASUS,4.9,2K/270Hz/1ms/G-SYNC/HDR,2024-04-22
P026,BenQ SW270C 專業攝影螢幕,電子產品,19900,15,27吋 2K IPS 面板，99% Adobe RGB 色域，硬體校色功能，USB-C 一線通,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400,BenQ,4.7,2K IPS/99% Adobe RGB/硬體校色/USB-C,2024-06-18
P027,Razer DeathAdder V3 Pro 電競滑鼠,電子產品,4290,45,Focus Pro 30K 光學感應器，無線連接，90 小時電池續航，59g 輕量化設計,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400,Razer,4.8,30K感應器/無線/90小時續航/59g輕量,2024-08-28
P028,HyperX Cloud Alpha 電競耳機,電子產品,2990,80,雙音腔驅動設計，記憶泡棉耳罩，可拆式麥克風，適合長時間配戴使用,https://images.unsplash.com/photo-1599669454699-248893623440?w=400,HyperX,4.6,雙音腔/記憶泡棉/可拆麥克風/長時配戴,2024-09-15
P029,DJI Mini 3 Pro 空拍機,電子產品,23900,12,輕巧摺疊設計，4K/60fps 錄影，34 分鐘飛行時間，前後下三向避障系統,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=400,DJI,4.9,4K/60fps/34分鐘飛行/三向避障/摺疊,2024-05-12
P030,GoPro Hero 12 Black 運動相機,電子產品,15900,38,5.3K60 超高清錄影，HyperSmooth 6.0 防手震，10 米防水，支援 HDR 錄影,https://images.unsplash.com/photo-1606041011872-596597976b25?w=400,GoPro,4.8,5.3K60/HyperSmooth 6.0/10m防水/HDR,2024-07-30
P031,Uniqlo 超極暖發熱衣,服飾配件,590,200,HEATTECH 科技纖維，吸濕發熱保暖，輕薄舒適不顯臃腫，多色可選,https://images.unsplash.com/photo-1620799140188-3b2a02fd9a77?w=400,Uniqlo,4.5,HEATTECH/吸濕發熱/輕薄/多色,2024-10-01
P032,Nike Air Max 270 運動鞋,服飾配件,4980,65,大型 Air 氣墊設計，舒適透氣網眼鞋面，時尚外型搭配優異緩震效果,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,Nike,4.7,Air氣墊/透氣網眼/緩震/時尚,2024-08-05
P033,Adidas Ultraboost 跑鞋,服飾配件,5680,48,Boost 中底回彈科技，Primeknit 編織鞋面，Continental 橡膠大底，專業跑者首選,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=400,Adidas,4.8,Boost回彈/Primeknit/Continental/專業,2024-07-18
P034,Levi's 501 經典牛仔褲,服飾配件,2690,88,經典直筒版型，純棉丹寧布料，耐穿百搭不退流行，多種水洗顏色選擇,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,Levi's,4.6,直筒版型/純棉丹寧/耐穿百搭/經典,2024-06-25
P035,The North Face 羽絨外套,服飾配件,7890,42,800 Fill Power 鵝絨填充，DWR 防潑水處理，輕量保暖適合登山旅行,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,The North Face,4.9,800 Fill/DWR防潑水/輕量/保暖,2024-09-12
P036,Champion 經典 Logo 帽T,服飾配件,1690,120,經典刺繡 Logo 設計，純棉刷毛內裡，舒適版型適合日常穿搭,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,Champion,4.4,刺繡Logo/純棉刷毛/舒適/經典,2024-08-22
P037,Ray-Ban Wayfarer 太陽眼鏡,服飾配件,4590,55,經典 Wayfarer 款式，G-15 鏡片提供 100% UV 防護，醋酸纖維鏡框,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400,Ray-Ban,4.7,Wayfarer/UV防護/G-15鏡片/經典,2024-07-09
P038,Michael Kors Jet Set 托特包,服飾配件,8900,32,Saffiano 防刮皮革，多隔層設計，金色五金配件，適合商務與日常使用,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400,Michael Kors,4.6,Saffiano皮革/多隔層/金色五金/防刮,2024-06-30
P039,Casio G-SHOCK 運動錶,服飾配件,3290,70,200米防水，抗震結構，世界時間功能，太陽能充電系統,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,Casio,4.8,200m防水/抗震/世界時間/太陽能,2024-08-16
P040,Calvin Klein 內褲三件組,服飾配件,1290,95,彈性棉質混紡，經典品牌腰帶設計，舒適親膚透氣，三件組超值優惠,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,Calvin Klein,4.5,彈性棉質/品牌腰帶/透氣/三件組,2024-09-08
P041,Patagonia Better Sweater 刷毛外套,服飾配件,4590,38,100% 回收聚酯纖維，針織刷毛質感，環保永續設計理念,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,Patagonia,4.7,回收纖維/刷毛/環保永續/保暖,2024-05-28
P042,Herschel Little America 後背包,服飾配件,3290,62,經典登山包外型，15 吋筆電收納層，防潑水處理，束口+磁扣雙重開口,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400,Herschel,4.6,15吋筆電/防潑水/經典外型/雙重開口,2024-07-14
P043,New Balance 574 復古慢跑鞋,服飾配件,2890,75,經典復古外型，ENCAP 中底緩震科技，麂皮與網布混搭材質,https://images.unsplash.com/photo-1539185441755-769473a23570?w=400,New Balance,4.5,ENCAP緩震/復古/麂皮/經典,2024-06-11
P044,Tommy Hilfiger Polo 衫,服飾配件,1990,85,100% 純棉 Piqué 布料，經典品牌刺繡，修身版型適合商務休閒,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,Tommy Hilfiger,4.4,純棉/Piqué/品牌刺繡/修身,2024-08-20
P045,Converse Chuck Taylor All Star,服飾配件,2190,110,經典帆布鞋款，橡膠鞋底耐磨，百搭不敗款式，多色選擇,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=400,Converse,4.6,帆布/橡膠底/百搭/經典,2024-09-03
P046,Columbia 防水登山鞋,服飾配件,3790,45,Omni-Tech 防水透氣科技，Techlite 中底緩震，Omni-Grip 抓地大底,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Columbia,4.7,防水透氣/緩震/抓地/登山,2024-07-22
