id,name,category,price,stock,description,image_url,brand,rating,features,created_date
P047,Fossil 三眼計時手錶,服飾配件,5290,40,不鏽鋼錶殼錶帶，礦物玻璃鏡面，50 米防水，日期顯示功能,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,Fossil,4.5,不鏽鋼/計時/50m防水/日期,2024-06-05
P048,Under Armour 運動緊身褲,服飾配件,1590,78,HeatGear 排汗快乾科技，四向彈力布料，抗菌防臭處理,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,Under Armour,4.6,HeatGear/快乾/四向彈力/抗菌,2024-08-30
P049,Timberland 經典黃靴,服飾配件,6290,35,Premium 全粒面防水皮革，直接注塑防水結構，舒適 EVA 中底,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Timberland,4.8,防水皮革/直接注塑/EVA中底/經典,2024-05-20
P050,MUJI 有機棉 T 恤,服飾配件,390,160,100% 有機棉材質，簡約純色設計，舒適親膚不刺激，基本款必備,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,MUJI,4.3,有機棉/簡約/舒適/基本款,2024-09-18
P051,IKEA POÄNG 休閒椅,家居生活,3990,50,樺木彎曲木框架，舒適坐感設計，可拆洗椅套，北歐簡約風格,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400,IKEA,4.5,樺木/可拆洗/北歐風/舒適,2024-07-15
P052,Dyson Pure Cool 空氣清淨機,家居生活,16900,28,360° HEPA 濾網，捕捉 99.97% 過敏原，無葉片風扇設計，APP 遠端控制,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=400,Dyson,4.8,HEPA濾網/無葉片/APP控制/99.97%過濾,2024-06-20
P053,Nespresso Essenza Mini 膠囊咖啡機,家居生活,3990,65,19 bar 高壓萃取系統，快速預熱僅需 25 秒，節能自動關機，精巧體積設計,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?w=400,Nespresso,4.6,19 bar/25秒預熱/節能/精巧,2024-08-08
P054,Le Creuset 鑄鐵鍋 24cm,家居生活,8900,32,琺瑯鑄鐵材質，優異導熱與保溫性，適用各種爐具含電磁爐，終身保固,https://images.unsplash.com/photo-1584990347498-7be7dfc65df5?w=400,Le Creuset,4.9,鑄鐵/琺瑯/終身保固/導熱佳,2024-05-25
P055,無印良品 CD 播放器,家居生活,6990,45,壁掛式設計，支援藍牙與 FM 廣播，LED 顯示螢幕，附遙控器,https://images.unsplash.com/photo-1518132467312-2c41394e5529?w=400,MUJI,4.4,壁掛式/藍牙/FM/遙控器,2024-07-28
P056,Philips Hue 智慧燈泡組,家居生活,2990,72,1600 萬色彩變化，支援 Apple HomeKit 與 Google Home，APP 遠端控制,https://images.unsplash.com/photo-1550985616-10810253b84d?w=400,Philips,4.7,1600萬色/HomeKit/Google Home/智慧,2024-09-01
P057,Herman Miller Aeron 人體工學椅,家居生活,39900,8,呼吸網狀椅面，8Z Pellicle 支撐系統，12 年保固，辦公久坐首選,https://images.unsplash.com/photo-1592078615290-033ee584e267?w=400,Herman Miller,4.9,網狀椅面/12年保固/人體工學/專業,2024-04-18
P058,iRobot Braava jet m6 拖地機器人,家居生活,19900,18,精準噴水拖地系統，Imprint 智慧規劃技術，可與 Roomba 協同工作,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=400,iRobot,4.6,精準噴水/智慧規劃/協同工作/APP,2024-06-12
P059,Sodastream Genesis 氣泡水機,家居生活,2790,58,自製健康氣泡水，環保減少塑膠瓶使用，可調整氣泡強度，一鍵操作,https://images.unsplash.com/photo-1570831739435-6601aa3fa4fb?w=400,Sodastream,4.5,氣泡水/環保/可調強度/一鍵操作,2024-08-14
P060,Tefal 氣炸鍋 4.2L,家居生活,3490,88,360° 熱對流循環，少油健康烹調，可拆式內鍋易清洗，60 分鐘定時功能,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400,Tefal,4.6,360°熱對流/少油/可拆洗/定時,2024-07-05
P061,Muji 超音波香氛水氧機,家居生活,1590,95,超音波霧化技術，7 色 LED 燈光，靜音運轉，自動斷電保護,https://images.unsplash.com/photo-1602874801006-96927ee98dba?w=400,MUJI,4.4,超音波/7色燈光/靜音/自動斷電,2024-09-10
P062,Stanley 經典保溫瓶 1L,家居生活,1490,125,雙層真空不鏽鋼，保冷 24 小時保熱 12 小時，防漏設計，終身保固,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400,Stanley,4.7,真空保溫/24h保冷/防漏/終身保固,2024-08-25
P063,Samsonite Cosmolite 20吋行李箱,家居生活,8900,42,Curv 材質輕量堅固，TSA 海關鎖，360° 靜音輪，10 年保固,https://images.unsplash.com/photo-1565026057447-bc90a3dceb87?w=400,Samsonite,4.8,Curv材質/輕量/TSA鎖/10年保固,2024-06-28
P064,特力屋 木質書櫃,家居生活,2990,55,環保 E1 板材，五層可調式層板，簡約設計百搭居家風格,https://images.unsplash.com/photo-1594620302200-9a762244a156?w=400,特力屋,4.3,E1板材/五層/可調/簡約,2024-07-19
P065,3M 淨呼吸空氣清淨機,家居生活,5990,38,靜電濾淨技術，CADR 值 340，超靜音運轉，節能省電設計,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=400,3M,4.5,靜電濾淨/CADR 340/靜音/節能,2024-08-18
P066,Xiaomi 米家掃拖機器人,家居生活,9990,48,LDS 雷射導航，2100Pa 吸力，智慧水箱電控出水，250 分鐘超長續航,https://images.unsplash.com/photo-1563453392212-326f5854473?w=400,Xiaomi,4.6,LDS導航/2100Pa/電控出水/長續航,2024-09-05
P067,Balmuda The Toaster 蒸氣烤麵包機,家居生活,7490,22,蒸氣科技完美烘烤，五種烘烤模式，復古美型設計，精準溫控技術,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400,Balmuda,4.8,蒸氣烘烤/五種模式/美型/溫控,2024-05-15
P068,WMF 不鏽鋼鍋具組,家居生活,12900,25,18/10 不鏽鋼材質，TransTherm 全面加熱底，適用電磁爐，德國製造,https://images.unsplash.com/photo-1584990347498-7be7dfc65df5?w=400,WMF,4.7,不鏽鋼/全面加熱/電磁爐/德國製,2024-06-22
P069,日本 IRIS 除濕機,家居生活,4990,52,每日除濕量 8L，自動除霜功能，連續排水設計，濕度感應自動運轉,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=400,IRIS,4.5,8L/除霜/連續排水/濕度感應,2024-08-02
P070,宜得利記憶床墊,家居生活,7990,35,高密度記憶泡棉，符合人體曲線，透氣網布表層，附防塵收納袋,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=400,宜得利,4.4,記憶泡棉/人體工學/透氣/收納袋,2024-07-10
P071,Estée Lauder 小棕瓶精華,美妝保養,2850,75,經典抗老修護精華，Advanced Night Repair 配方，改善細紋與暗沉,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400,Estée Lauder,4.8,抗老/修護/細紋/暗沉,2024-08-10
P072,Lancôme 超未來肌因賦活露,美妝保養,3200,60,二代小黑瓶，雙重發酵精萃，強化肌膚防禦力，改善肌膚紋理,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Lancôme,4.7,發酵精萃/防禦力/肌膚紋理/賦活,2024-07-25
P073,SK-II PITERA 青春露,美妝保養,6580,42,90% PITERA 精華，調理肌膚紋理，提升肌膚透亮度，經典神仙水,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400,SK-II,4.9,PITERA/調理/透亮/經典,2024-06-18
P074,資生堂 紅妍肌活露,美妝保養,2490,88,極上濃縮精華液，Ultimune 技術，強化肌膚免疫力，提升後續保養吸收,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Shiseido,4.6,濃縮精華/Ultimune/免疫力/吸收,2024-09-02
P075,La Mer 經典乳霜,美妝保養,8900,28,Miracle Broth 神奇活膚精萃，深層滋潤修護，改善肌膚彈性與光澤,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400,La Mer,4.9,活膚精萃/滋潤修護/彈性/光澤,2024-05-30
P076,Kiehl's 金盞花植物精華化妝水,美妝保養,1100,110,真實金盞花瓣，溫和舒緩肌膚，平衡油水，適合混合性與油性肌,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Kiehl's,4.7,金盞花/舒緩/油水平衡/溫和,2024-08-22
P077,Sulwhasoo 雪花秀滋陰水,美妝保養,1850,72,韓方草本配方，深層保濕滋養，改善肌膚乾燥，提升肌膚彈性,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400,Sulwhasoo,4.6,韓方草本/保濕/乾燥/彈性,2024-07-12
P078,The Ordinary 維他命 C 精華,美妝保養,680,150,23% 純維他命 C，改善暗沉與色素沉澱，提亮膚色，高 CP 值選擇,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,The Ordinary,4.5,維他命C/提亮/色素/高CP,2024-09-15
P079,Charlotte Tilbury 持久粉底液,美妝保養,1850,65,魔法粉底液，持妝 24 小時，SPF 15 防曬，遮瑕力強不厚重,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=400,Charlotte Tilbury,4.8,持久/SPF 15/遮瑕/輕薄,2024-08-05
P080,Drunk Elephant C-Firma 維他命 C 日間精華,美妝保養,2950,48,15% 左旋維他命 C，南非醉茄根萃取，抗氧化亮膚，改善細紋,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400,Drunk Elephant,4.7,15% 維C/抗氧化/亮膚/細紋,2024-06-28
P081,Laneige 水酷肌因保濕凝凍,美妝保養,980,95,清爽凝凍質地，深層補水保濕，適合夏季與油性肌膚使用,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Laneige,4.5,凝凍質地/補水/清爽/夏季,2024-09-08
P082,Fenty Beauty Pro Filt'r 粉底液,美妝保養,1590,58,50 種色號選擇，無油配方，持久不脫妝，適合各種膚質,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=400,Fenty Beauty,4.6,50色號/無油/持久/全膚質,2024-07-20
P083,Tatcha 黃金蠶絲面膜,美妝保養,2200,0,日本蠶絲蛋白，深層滋養修護，改善肌膚彈性與光澤，奢華保養體驗,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400,Tatcha,4.8,蠶絲蛋白/滋養/彈性/奢華,2024-05-18
P084,Bobbi Brown 蟲草粉底條,美妝保養,1650,62,多功能粉底條，遮瑕與粉底二合一，便攜設計，自然妝感,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=400,Bobbi Brown,4.5,多功能/遮瑕/便攜/自然,2024-08-28
P085,Neutrogena 水活保濕凝露,美妝保養,299,180,Hydro Boost 技術，玻尿酸深層補水，清爽不黏膩，開架保濕首選,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400,Neutrogena,4.4,玻尿酸/補水/清爽/開架,2024-09-20
P086,哈利波特：神秘的魔法石,圖書文具,420,88,J.K. 羅琳經典奇幻小說，哈利波特系列首部曲，開啟魔法世界大門,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400,皇冠出版,4.9,奇幻/經典/系列/魔法,2024-07-15
P087,原子習慣,圖書文具,330,125,詹姆斯·克利爾暢銷著作，微小改變帶來巨大成就，建立好習慣的實用指南,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400,方智出版,4.8,自我成長/習慣/暢銷/實用,2024-08-12
P088,村上春樹：挪威的森林,圖書文具,360,95,村上春樹經典愛情小說，探討青春、愛情與生命的迷惘,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400,時報出版,4.7,愛情/經典/青春/文學,2024-06-20
P089,蔡康永的情商課,圖書文具,380,78,蔡康永親授情商心法，提升人際溝通能力，成為更受歡迎的人,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400,如何出版,4.6,情商/溝通/人際/實用,2024-09-05
P090,MUJI 原木六角筆,圖書文具,180,145,天然原木材質，六角筆身好握不滑，適合長時間書寫繪圖,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,MUJI,4.5,原木/六角/書寫/繪圖,2024-08-25
P091,Moleskine 經典筆記本,圖書文具,650,68,義大利經典品牌，硬殼封面耐用，無酸紙張滑順好寫，內附口袋與書籤,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=400,Moleskine,4.7,硬殼/無酸紙/書籤/經典,2024-07-08
P092,LAMY Safari 鋼筆,圖書文具,950,52,德國工藝設計，ABS 樹脂筆身，不鏽鋼筆尖，適合初學者使用,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,LAMY,4.8,德國工藝/ABS樹脂/鋼筆/初學,2024-06-15
P093,Crayola 彩色筆 24 色,圖書文具,280,135,安全無毒配方，顏色鮮豔飽和，可水洗設計，兒童繪畫首選,https://images.unsplash.com/photo-1513542789411-b6a5d4f31634?w=400,Crayola,4.6,無毒/可水洗/24色/兒童,2024-09-12
P094,Staedtler 工程筆,圖書文具,120,98,德國精密製造，0.5mm 自動鉛筆，金屬筆身耐用，專業繪圖必備,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,Staedtler,4.7,0.5mm/金屬/繪圖/德國,2024-08-18
P095,Post-it 便利貼組合包,圖書文具,199,165,3M 經典便利貼，多種尺寸與顏色，強黏不留痕，辦公必備小物,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,3M,4.5,多色/強黏/不留痕/辦公,2024-09-22
P096,Faber-Castell 水性色鉛筆,圖書文具,580,72,48 色專業級色鉛筆，可溶於水產生水彩效果，環保木材製造,https://images.unsplash.com/photo-1513542789411-b6a5d4f31634?w=400,Faber-Castell,4.8,48色/水性/水彩效果/環保,2024-07-28
P097,Leitz 打洞機,圖書文具,890,55,德國品牌專業打洞機，一次可打 30 張紙，金屬結構耐用，精準定位,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,Leitz,4.6,30張/金屬/精準/德國,2024-06-25
P098,Pentel 自動橡皮擦,圖書文具,85,188,筆型設計攜帶方便，4mm 橡皮芯精準擦拭，適合繪圖與考試使用,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,Pentel,4.4,筆型/4mm/精準/考試,2024-09-18
P099,晨光文具收納盒,圖書文具,320,115,多格分類設計，透明抽屜好收納，桌面整理必備，耐用 PP 材質,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,晨光,4.3,多格/透明/收納/PP材質,2024-08-08
P100,Sakura 櫻花牌油性筆,圖書文具,45,200,日本製造油性簽字筆，0.5mm 極細筆尖，快乾防水不暈染，黑色經典款,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400,Sakura,4.5,油性/0.5mm/防水/日本製,2024-09-28
