category,store_name,item_name,price,rating,description
食物,麥當勞,大麥克,89,4.5,經典漢堡，雙層牛肉餅配生菜
食物,麥當勞,薯條,45,4.2,金黃酥脆的馬鈴薯條
食物,麥當勞,可樂,35,4.0,冰涼可樂
食物,肯德基,炸雞桶,299,4.3,香脆炸雞，多種部位組合
食物,肯德基,蛋塔,25,4.7,葡式蛋塔，外酥內軟
食物,肯德基,薯條,40,4.1,香脆薯條
食物,星巴克,拿鐵,120,4.4,香濃拿鐵咖啡
食物,星巴克,美式咖啡,95,4.2,經典美式咖啡
食物,星巴克,抹茶拿鐵,135,4.6,日式抹茶拿鐵
食物,鼎泰豐,小籠包,180,4.8,招牌小籠包，皮薄餡多
食物,鼎泰豐,炒飯,120,4.5,粒粒分明的炒飯
食物,鼎泰豐,酸辣湯,80,4.3,開胃酸辣湯
食物,王品牛排,牛排套餐,1200,4.7,精選牛排套餐
食物,王品牛排,沙拉,150,4.2,新鮮蔬菜沙拉
食物,王品牛排,甜點,200,4.4,精緻甜點
生活用品,全聯福利中心,衛生紙,89,4.1,柔軟舒適的衛生紙
生活用品,全聯福利中心,洗髮精,199,4.3,滋潤護髮洗髮精
生活用品,全聯福利中心,牙膏,45,4.0,清新薄荷牙膏
生活用品,家樂福,洗衣精,299,4.2,強效去汙洗衣精
生活用品,家樂福,沐浴乳,159,4.4,溫和滋潤沐浴乳
生活用品,家樂福,面紙,35,4.1,柔軟面紙
生活用品,屈臣氏,面膜,299,4.5,保濕面膜
生活用品,屈臣氏,維他命,599,4.3,綜合維他命
生活用品,屈臣氏,護手霜,89,4.2,滋潤護手霜
生活用品,康是美,洗面乳,199,4.4,溫和清潔洗面乳
生活用品,康是美,防曬乳,299,4.6,高係數防曬乳
生活用品,康是美,化妝水,159,4.3,保濕化妝水